Name,Location,Description,Cohort,Tags,b2b,cb_created_at,cb_entity_def_id,cb_facebook,cb_image_url,cb_linkedin,cb_short_description,cb_stock_exchange_symbol,cb_twitter,cb_updated_at,cb_website_url
Airbnb,"San Francisco, CA, USA",Book accommodations around the world.,W09,"Consumer, Travel, Leisure and Tourism",False,2008-07-31,organization,https://www.facebook.com/airbnb,https://images.crunchbase.com/image/upload/t_cb-default-original/bomkrvppqn1pssoqsxqy,http://www.linkedin.com/company/airbnb,"Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet.",bvmf,http://www.twitter.com/airbnb,2023-11-16,http://www.airbnb.com
Amplitude,"San Francisco, CA, USA",Digital Analytics Platform,W12,Analytics,True,2013-06-07,organization,https://www.facebook.com/AmplitudeAnalytics,https://images.crunchbase.com/image/upload/t_cb-default-original/l2xmvfal9wohwa8faunc,https://www.linkedin.com/company/amplitude-analytics,Amplitude is a product intelligence platform that provides digital product tools that help teams run and grow their businesses.,nasdaq,https://twitter.com/Amplitude_HQ,2023-12-19,http://amplitude.com
Coinbase,"San Francisco, CA, USA","Buy, sell, and manage cryptocurrencies.",S12,"Fintech, Banking and Exchange",False,2012-12-13,organization,https://www.facebook.com/Coinbase,https://images.crunchbase.com/image/upload/t_cb-default-original/bhusvwtttjcsxhaq0kil,https://www.linkedin.com/company/coinbase,"Coinbase is a cryptocurrency exchange and cryptocurrency wallet platform that allows users to buy, sell, and store various cryptocurrencies.",bit,https://x.com/coinbase,2024-09-05,https://www.coinbase.com/l
DoorDash,"San Francisco, CA, USA",Restaurant delivery.,S13,"Consumer, Food and Beverage",False,2013-07-27,organization,http://www.facebook.com/doordash,https://images.crunchbase.com/image/upload/t_cb-default-original/b2cximlauocyxfs2lkfh,http://www.linkedin.com/company/doordash,DoorDash is a food delivery platform that connects customers with local and national businesses.,nasdaq,https://x.com/DoorDash,2024-09-18,http://www.doordash.com
Dropbox,"San Francisco, CA, USA",Backup and share files in the cloud.,S07,Productivity,True,2007-08-16,organization,https://www.facebook.com/Dropbox,https://images.crunchbase.com/image/upload/t_cb-default-original/bccqp45xqyopu9idzehy,https://www.linkedin.com/company/dropbox,"Dropbox is a smart workspace company that provides secure file sharing, collaboration, and storage solutions.",nasdaq,https://www.twitter.com/Dropbox,2024-04-27,https://www.dropbox.com
Ginkgo Bioworks,"Boston, MA, USA",Our mission is to make biology easier to engineer.,S14,"Healthcare, Industrial Bio",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GitLab,"San Francisco, CA, USA",A complete DevOps platform delivered as a single application.,W15,"Engineering, Product and Design",True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Instacart,"San Francisco, CA, USA",Marketplace for grocery delivery and pickup,S12,"Consumer, Food and Beverage",False,2012-08-01,organization,http://www.facebook.com/Instacart,https://images.crunchbase.com/image/upload/t_cb-default-original/och6oxp91ypijuwruutx,http://www.linkedin.com/company/instacart,Instacart is an online grocery platform that offers same-day delivery and pickup services for retailers and consumers.,nasdaq,https://www.twitter.com/Instacart,2024-03-05,https://www.instacart.com
Momentus,"Santa Clara, CA, USA",The space infrastructure services company,S18,"Industrials, Aviation and Space",False,2022-01-08,organization,https://www.facebook.com/momentusmediacompany,https://images.crunchbase.com/image/upload/t_cb-default-original/kqqmq4yaikbg6c2ve0uh,NA,MOMENTUS is a media production company.,NA,NA,2022-01-08,http://momentus.media
Notable Labs,"Foster City, CA, USA",Personalized drug discovery for blood cancer.,W15,"Healthcare, Diagnostics",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PagerDuty,"San Francisco, CA, USA",Real-time visibility into critical apps and services all in one place.,S10,"Engineering, Product and Design",True,2009-11-03,organization,http://www.facebook.com/PagerDuty,https://images.crunchbase.com/image/upload/t_cb-default-original/v7evmambjpv643luprdu,http://www.linkedin.com/company/pagerduty,"PagerDuty is an operations performance platform that helps monitor IT infrastructure, detect issues, and resolve incidents.",nyse,http://twitter.com/pagerduty,2023-10-11,http://www.pagerduty.com
Pardes Biosciences,"San Francisco, CA, USA",We break viruses,S20,"Healthcare, Drug Discovery and Delivery",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Presto,"San Carlos, CA, USA",Digital meets physical for big chain restaurants,S10,Retail,True,2010-05-01,organization,NA,https://images.crunchbase.com/image/upload/t_cb-default-original/oehguwiaydsj4jjplpzu,https://www.linkedin.com/company/presto-restaurant-technology,Presto is a software company that provides AI and automation solutions to the restaurant industry.,nasdaq,https://twitter.com/presto_ai,2024-08-06,https://presto.com
Rigetti Computing,"Berkeley, CA, USA",Quantum coherent supercomputing.,S14,"Industrials, Manufacturing and Robotics",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weave,"Lehi, UT, USA",Customer communication and payments platform.,W14,Office Management,True,2014-02-20,organization,https://www.facebook.com/pages/category/Business-Service/Weave-Communications-104563699630090,https://images.crunchbase.com/image/upload/t_cb-default-original/xofgjos2nwfbahipkshf,https://www.linkedin.com/company/weave-communications,"Weave makes communicating with customers easier for businesses by integrating features like texting, phone service, fax, and reviews.",nyse,http://twitter.com/getweave,2024-01-12,http://www.getweave.com
Oklo,"Santa Clara, CA, USA","Emission free, always on power from advanced fission power plants.",S14,"Industrials, Energy",False,2021-07-08,organization,https://www.facebook.com/okloworld/,https://images.crunchbase.com/image/upload/t_cb-default-original/rfhpvkexk7uv9datxndg,https://www.linkedin.com/company/okloworld/,OKLO provides highly scalable and high-performance technology solutions and end-to-end automated business processes.,NA,https://www.twitter.com/okloworld,2023-08-31,https://www.okloworld.com
Matterport,"Sunnyvale, CA, USA",Turn physical objects and environments into 3D models in seconds.,W12,"Consumer, Virtual and Augmented Reality",False,2013-03-08,organization,http://www.facebook.com/MatterPort,https://images.crunchbase.com/image/upload/t_cb-default-original/aroisubpzho5kxvqfwka,https://www.linkedin.com/company/matterport,"Matterport digitizes spaces into accurate, immersive 3D digital twins with its all-in-one platform.",bmv,http://twitter.com/Matterport,2024-04-23,http://www.matterport.com
Embark Trucks,"San Francisco, CA, USA",Self-driving semi trucks.,W16,"Industrials, Automotive",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucira Health,"Emeryville, CA, USA",Next generation infectious disease test kits,W15,"Healthcare, Diagnostics",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Segment,"San Francisco, CA, USA","Software and APIs to collect, clean, and control customer data.",S11,Analytics,True,2015-01-23,organization,https://www.facebook.com/Segmentit,https://images.crunchbase.com/image/upload/t_cb-default-original/v1422016338/q02dhhycmpqjngrhqlx1.png,https://www.linkedin.com/company/segment-it,Segment Information Technologies provides B2B supply chain management systems.,NA,NA,2022-07-19,http://www.segment.co.il/
Algolia,"San Francisco, CA, USA",A developer-friendly and enterprise-grade search API.,W14,"Engineering, Product and Design",True,2012-09-15,organization,https://www.facebook.com/algolia,https://images.crunchbase.com/image/upload/t_cb-default-original/ed7be702acae4794b58b2eac68dd06fe,https://www.linkedin.com/company/algolia/,Algolia is the Search-as-a-Service platform that enables companies to deliver fast and relevant digital experiences that drive real results.,NA,https://x.com/algolia,2024-09-18,https://www.algolia.com/
Truebill,"Silver Spring, MD, USA",Live your best financial life,W16,"Fintech, Consumer Finance",False,2016-01-09,organization,https://www.facebook.com/rocketmoney/,https://images.crunchbase.com/image/upload/t_cb-default-original/xjuxpahxjmcklwfvjxnj,https://www.linkedin.com/company/rocketmoney/,"Rocket Money is a financial money app that provides bill negotiation, budgeting, autopilot savings, and credit score services.",NA,https://twitter.com/truebill,2024-03-14,https://www.rocketmoney.com/
Twitch,"San Francisco, CA, USA",A global community creating the future of live entertainment.,W07,"Consumer, Content",False,2012-09-19,organization,https://www.facebook.com/Twitch,https://images.crunchbase.com/image/upload/t_cb-default-original/qftd7d0cqxywyykmamdi,https://www.linkedin.com/company/twitch-tv,"Twitch is a social video platform where gamers can broadcast, watch, and talk about video games.",NA,https://www.twitter.com/Twitch,2023-06-22,https://www.twitch.tv
PlanGrid,"San Francisco, CA, USA",Mobile applications for the construction industry.,W12,"Real Estate and Construction, Construction",False,2012-03-04,organization,http://www.facebook.com/PlanGrid,https://images.crunchbase.com/image/upload/t_cb-default-original/v1446583806/swo5lxhzweikvhqs4it7.png,http://www.linkedin.com/company/plangrid,PlanGrid is a provider of cloud-based construction document collaboration platform.,NA,http://twitter.com/plangrid,2021-07-27,https://www.plangrid.com
Bellabeat,"San Francisco, CA, USA",Tech-powered women's wellness.,W14,"Consumer, Consumer Electronics",False,2014-02-13,organization,http://www.facebook.com/bellabeat,https://images.crunchbase.com/image/upload/t_cb-default-original/ga1vgrba7lqvckao7pwn,https://www.linkedin.com/company/bellabeatinc/,"Bellabeat creates beautiful, innovative products that help women easily track their overall health and wellness.",NA,http://twitter.com/GetBellaBeat,2024-01-24,http://www.bellabeat.com
Cruise,"San Francisco, CA, USA",Self-driving cars.,W14,"Industrials, Automotive",False,2014-06-23,organization,https://www.facebook.com/cruiseautomation,https://images.crunchbase.com/image/upload/t_cb-default-original/dftlxgiwn115x4jrpq1v,https://www.linkedin.com/company/cruise-automation-inc-,"Cruise builds self-driving vehicles that safely connect people to places, things, and experiences they care about.",NA,https://twitter.com/cruise,2024-02-05,http://www.getcruise.com
Benchling,"San Francisco, CA, USA",Unlocking the power of biotech with modern software for modern science,S12,,True,2014-02-22,organization,http://www.facebook.com/benchling,https://images.crunchbase.com/image/upload/t_cb-default-original/chcs8sstven7icv2zkmb,https://www.linkedin.com/company/benchling/,Benchling is an IT company that provides a cloud-based software platform for biology researchers and research and development organizations.,NA,https://x.com/benchling,2024-09-18,https://www.benchling.com
Casetext,"San Francisco, CA, USA",We make the world's laws free and understandable.,S13,Legal,True,2013-08-06,organization,https://www.facebook.com/casetext,https://images.crunchbase.com/image/upload/t_cb-default-original/mbfrvby8uk1ctxwyqctp,https://www.linkedin.com/company/casetext,"Casetext is an AI legal research technology for litigators, helping researchers find cases.",NA,http://twitter.com/casetext,2024-03-19,http://www.casetext.com
Bird,"Amsterdam, NH, Netherlands",The worldâ€™s largest omnichannel communications platform,S16,"Engineering, Product and Design",True,2018-02-13,organization,https://www.facebook.com/bird,https://images.crunchbase.com/image/upload/t_cb-default-original/oobypao7z4ynzmdalsjj,https://www.linkedin.com/company/birdapp,Bird designs a vehicle sharing platform that provides affordable transportation solutions to communities across the world.,otcqx,https://www.twitter.com/birdride,2024-04-03,https://www.bird.co
Brex,"San Francisco, CA, USA","Business accounts, corporate cards, and spend management software.",W17,"Fintech, Banking and Exchange",False,2018-04-21,organization,https://www.facebook.com/BrexHQ,https://images.crunchbase.com/image/upload/t_cb-default-original/aedflsehonswztdphtdh,https://www.linkedin.com/company/brexhq,"Brex is a financial technology company that provides a platform for corporate cards, expense management, reimbursements, and bill pay.",NA,https://x.com/brexHQ,2024-09-18,https://brex.com
The Athletic,"San Francisco, CA, USA",Subscription sports media.,S16,"Consumer, Content",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Codecademy,"New York, NY, USA",The leading online learning platform for technical skills.,S11,Education,False,2014-05-08,organization,http://www.facebook.com/codecademy,https://images.crunchbase.com/image/upload/t_cb-default-original/gw9rnyrhkkljgerhki1l,http://www.linkedin.com/company/codecademy,Codecademy provides an online learning platform that teaches employable digital skills.,NA,http://twitter.com/Codecademy,2024-04-10,http://www.codecademy.com
Checkr,"San Francisco, CA, USA",People infrastructure for the future of work,S14,Human Resources,True,2014-07-24,organization,https://www.facebook.com/checkrio,https://images.crunchbase.com/image/upload/t_cb-default-original/r3uvfvquvuhrmnwqepu8,https://www.linkedin.com/company/checkr-com,Checkr is a software company that automates and speeds up the process of professional background checks.,NA,https://twitter.com/checkr,2024-09-19,https://checkr.com
Lever,"San Francisco, CA, USA",Talent Acquisition Suite that combines ATS + Talent CRM,S12,Recruiting and Talent,True,2013-03-19,organization,https://www.facebook.com/leverapp/,https://images.crunchbase.com/image/upload/t_cb-default-original/er6wz61twb0iw9sdqmga,https://www.linkedin.com/company/lever-/,Lever is a talent acquisition suite that provides talent leaders with the solutions they need to build strong relationships with candidates.,NA,http://twitter.com/lever,2022-07-19,https://www.lever.co/
Clipboard Health,Remote,Connects healthcare facilities with nurses nearby.,W17,"Healthcare, Healthcare Services",False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heap,"San Francisco, CA, USA",Captures user interactions with no code to generate analytics.,W13,Analytics,True,2013-07-05,organization,https://www.facebook.com/HeapAnalytics,https://images.crunchbase.com/image/upload/t_cb-default-original/rpbf61vemzhqib0zxcid,https://www.linkedin.com/company/heap-inc-,Heap is a platform that provides analytics infrastructure to reduce the annoying parts of user analytics.,NA,http://twitter.com/heap,2023-10-01,https://heap.io
Sendwave,"Boston, MA, USA","Instant, no fee international remittances.",W12,"Fintech, Payments",False,2020-08-26,organization,https://www.facebook.com/sendwave,https://images.crunchbase.com/image/upload/t_cb-default-original/fntrdfnwv0gdhkef7pyd,https://www.linkedin.com/company/wavemoney,Sendwave is an app-based remittance company with the mission of sending money as easy as sending a text.,NA,https://twitter.com/sendwaveapp,2024-05-17,https://www.sendwave.com/
Deel,"San Francisco, CA, USA",The all-in-one HR and payroll platform for global teams,W19,Finance and Accounting,True,2019-01-28,organization,https://www.facebook.com/GetDeel,https://images.crunchbase.com/image/upload/t_cb-default-original/m7grvpznjzt9sd8crngp,https://www.linkedin.com/company/Deel,"Deel is a payroll and compliance platform that provides employees and contractors with hiring, HR, and payroll services.",NA,https://x.com/Deel,2024-09-18,https://www.deel.com
Clever,"San Francisco, CA, USA",The platform that powers technology in the classroom.,S12,Education,False,2012-06-27,organization,https://facebook.com/clever,https://images.crunchbase.com/image/upload/t_cb-default-original/wrp6mp3mzooy3wq7jriu,http://www.linkedin.com/company/clever-inc-,Clever is a digital learning platform designed for K12 schools and used by 22 million students and teachers.,NA,http://twitter.com/Clever,2022-03-03,https://clever.com
Caper,,Plug-and-play cashier-less retail powered by computer vision and AI,W16,Retail,True,2017-10-10,organization,https://www.facebook.com/ThinkCaper/,https://images.crunchbase.com/image/upload/t_cb-default-original/uyw3pcxddk5cok26cqyq,https://www.linkedin.com/company/caper-ai/about/,Caper builds autonomous retailer devices and solutions powered by deep learning and computer vision,NA,https://twitter.com/ThinkCaper,2022-07-18,https://www.caper.ai/
